park,name,geom,wkt
http://gnis-ld.org/lod/gnis/feature/1872056,Louise Lowry Davis Recreation Center,http://gnis-ld.org/geometry/point/gnisf.1872056,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7076353 34.4222195)
http://gnis-ld.org/lod/gnis/feature/1871757,Chumash Painted Cave State Historic Park,http://gnis-ld.org/geometry/point/gnisf.1871757,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7868069 34.5041626)
http://gnis-ld.org/lod/gnis/feature/1871540,James Hagerman Softball Complex,http://gnis-ld.org/geometry/point/gnisf.1871540,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4429415 34.9041456)
http://gnis-ld.org/lod/gnis/feature/1871791,Manville Park,http://gnis-ld.org/geometry/point/gnisf.1871791,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4501629 34.6427612)
http://gnis-ld.org/lod/gnis/feature/1872100,Carpinteria Community Swimming Pool,http://gnis-ld.org/geometry/point/gnisf.1872100,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5140117 34.3944394)
http://gnis-ld.org/lod/gnis/feature/1702881,Isla Vista County Park,http://gnis-ld.org/geometry/point/gnisf.1702881,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8604161 34.4088849)
http://gnis-ld.org/lod/gnis/feature/1665572,Harder Stadium,http://gnis-ld.org/geometry/point/gnisf.1665572,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8543052 34.4202737)
http://gnis-ld.org/lod/gnis/feature/1871902,Los Robles Park,http://gnis-ld.org/geometry/point/gnisf.1871902,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.755972 34.4469419)
http://gnis-ld.org/lod/gnis/feature/1702868,Ambassador Park,http://gnis-ld.org/geometry/point/gnisf.1702868,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6929117 34.4102751)
http://gnis-ld.org/lod/gnis/feature/1871929,Honda Valley Park,http://gnis-ld.org/geometry/point/gnisf.1871929,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7154131 34.4083309)
http://gnis-ld.org/lod/gnis/feature/1871559,Atkinson Park,http://gnis-ld.org/geometry/point/gnisf.1871559,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4434973 34.9630335)
http://gnis-ld.org/lod/gnis/feature/1872043,El Paseo Plaza de la Guerra,http://gnis-ld.org/geometry/point/gnisf.1872043,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6995791 34.4205528)
http://gnis-ld.org/lod/gnis/feature/1871689,Anderson Recreation Center,http://gnis-ld.org/geometry/point/gnisf.1871689,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4590522 34.6408166)
http://gnis-ld.org/lod/gnis/feature/1871838,Evergreen Park,http://gnis-ld.org/geometry/point/gnisf.1871838,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8895838 34.4374948)
http://gnis-ld.org/lod/gnis/feature/1872066,Parma Park,http://gnis-ld.org/geometry/point/gnisf.1872066,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6787453 34.4508297)
http://gnis-ld.org/lod/gnis/feature/1871736,Thompson Park,http://gnis-ld.org/geometry/point/gnisf.1871736,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.471275 34.6463721)
http://gnis-ld.org/lod/gnis/feature/1872013,Plaza del Mar,http://gnis-ld.org/geometry/point/gnisf.1872013,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6959675 34.4086084)
http://gnis-ld.org/lod/gnis/feature/1702885,Los Banos Del Mar,http://gnis-ld.org/geometry/point/gnisf.1702885,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6937451 34.4077751)
http://gnis-ld.org/lod/gnis/feature/1871832,Del Sol Vernal Pool Preserve,http://gnis-ld.org/geometry/point/gnisf.1871832,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8656941 34.4161068)
http://gnis-ld.org/lod/gnis/feature/1872142,Toro Canyon County Park,http://gnis-ld.org/geometry/point/gnisf.1872142,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5609599 34.4402725)
http://gnis-ld.org/lod/gnis/feature/1871802,Santa Ynez County Park,http://gnis-ld.org/geometry/point/gnisf.1871802,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.085146 34.6108203)
http://gnis-ld.org/lod/gnis/feature/1871942,McKenzie Park,http://gnis-ld.org/geometry/point/gnisf.1871942,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7323595 34.4397196)
http://gnis-ld.org/lod/gnis/feature/1871556,Alice Threfts Park,http://gnis-ld.org/geometry/point/gnisf.1871556,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4279409 34.9430339)
http://gnis-ld.org/lod/gnis/feature/1871967,Thornbury Park,http://gnis-ld.org/geometry/point/gnisf.1871967,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7106906 34.4083309)
http://gnis-ld.org/lod/gnis/feature/1702871,Berkeley Park,http://gnis-ld.org/geometry/point/gnisf.1702871,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8245836 34.4466628)
http://gnis-ld.org/lod/gnis/feature/1872121,Franklin Creek Park,http://gnis-ld.org/geometry/point/gnisf.1872121,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5181787 34.4063837)
http://gnis-ld.org/lod/gnis/feature/1872070,Plaza Vera Cruz,http://gnis-ld.org/geometry/point/gnisf.1872070,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6940232 34.418886)
