school,name,geom,wkt
http://gnis-ld.org/lod/gnis/feature/248961,El Montecito School - San Roque,http://gnis-ld.org/geometry/point/gnisf.248961,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7327833 34.4443502)
http://gnis-ld.org/lod/gnis/feature/249037,Santa Barbara City College,http://gnis-ld.org/geometry/point/gnisf.249037,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6990384 34.4061346)
http://gnis-ld.org/lod/gnis/feature/249038,Santa Barbara College,http://gnis-ld.org/geometry/point/gnisf.249038,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7051356 34.4388859)
http://gnis-ld.org/lod/gnis/feature/276475,Santa Barbara College,http://gnis-ld.org/geometry/point/gnisf.276475,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6973564 34.4063863)
http://gnis-ld.org/lod/gnis/feature/249041,Santa Barbara High School,http://gnis-ld.org/geometry/point/gnisf.249041,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6940235 34.4291637)
http://gnis-ld.org/lod/gnis/feature/1872085,Santa Barbara High School,http://gnis-ld.org/geometry/point/gnisf.1872085,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6942243 34.4295301)
http://gnis-ld.org/lod/gnis/feature/249044,Antioch University Santa Barbara Campus,http://gnis-ld.org/geometry/point/gnisf.249044,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6958265 34.41928)
http://gnis-ld.org/lod/gnis/feature/249045,Santa Barbara Junior High School,http://gnis-ld.org/geometry/point/gnisf.249045,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6886167 34.4261579)
http://gnis-ld.org/lod/gnis/feature/249135,Santa Ynez Valley Union High School,http://gnis-ld.org/geometry/point/gnisf.249135,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0995274 34.607864)
http://gnis-ld.org/lod/gnis/feature/250795,Lompoc Valley Middle School,http://gnis-ld.org/geometry/point/gnisf.250795,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4647777 34.6365309)
http://gnis-ld.org/lod/gnis/feature/250806,Orcutt Junior High School,http://gnis-ld.org/geometry/point/gnisf.250806,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4409511 34.8621664)
http://gnis-ld.org/lod/gnis/feature/251413,Westmont College,http://gnis-ld.org/geometry/point/gnisf.251413,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6615247 34.4504232)
http://gnis-ld.org/lod/gnis/feature/251698,Wilson School,http://gnis-ld.org/geometry/point/gnisf.251698,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7095797 34.4191641)
http://gnis-ld.org/lod/gnis/feature/2548530,Allan Hancock College - Solvang Center,http://gnis-ld.org/geometry/point/gnisf.2548530,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.140057 34.591834)
http://gnis-ld.org/lod/gnis/feature/269490,Aliso Elementary School,http://gnis-ld.org/geometry/point/gnisf.269490,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5268278 34.4011716)
http://gnis-ld.org/lod/gnis/feature/270353,Cathedral Oaks School,http://gnis-ld.org/geometry/point/gnisf.270353,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7881944 34.4447191)
