sign,wkt
S1,"LINESTRING (-120.3410720 34.5247270, -120.3415310 34.5254760, -120.3416520 34.5256610, -120.3429540 34.5278530, -120.3432050 34.5282920, -120.3436460 34.5290160, -120.3439960 34.5295910, -120.3442320 34.5299090, -120.3446000 34.5303420, -120.3450290 34.5307810, -120.3452310 34.5309610, -120.3455970 34.5313240)"
U101,"LINESTRING (-120.2244560 34.4735620, -120.2245020 34.4735720, -120.2249260 34.4736840, -120.2253940 34.4738400, -120.2255910 34.4739200, -120.2260560 34.4741640, -120.2262740 34.4743070, -120.2266270 34.4745910, -120.2268290 34.4748010, -120.2270140 34.4750250, -120.2271230 34.4751760, -120.2273270 34.4755270, -120.2280760 34.4771740, -120.2283570 34.4777720, -120.2284120 34.4778900, -120.2288870 34.4788980, -120.2295400 34.4803160, -120.2301360 34.4816290, -120.2302720 34.4820020, -120.2303340 34.4822340, -120.2303650 34.4824250, -120.2303800 34.4825900, -120.2303820 34.4828740, -120.2303670 34.4830580, -120.2303100 34.4833820, -120.2302100 34.4837130, -120.2301210 34.4839360, -120.2299690 34.4842250, -120.2297790 34.4845020, -120.2296370 34.4846790, -120.2294900 34.4848400, -120.2291570 34.4851540, -120.2286800 34.4855500, -120.2285000 34.4857150, -120.2283870 34.4858190, -120.2280410 34.4860970)"
U101,"LINESTRING (-120.1777940 34.4716940, -120.1768020 34.4716900, -120.1744130 34.4717140, -120.1718950 34.4718580, -120.1697710 34.4720020, -120.1695110 34.4720170, -120.1677430 34.4721180, -120.1657270 34.4722440, -120.1647510 34.4723160, -120.1632760 34.4725290, -120.1619500 34.4727730)"
U101,"LINESTRING (-120.1936290 34.4726190, -120.1898720 34.4720240, -120.1886830 34.4718570, -120.1881260 34.4717970, -120.1875330 34.4717340, -120.1868240 34.4716960, -120.1860690 34.4716830, -120.1817540 34.4716650, -120.1814920 34.4716640, -120.1778390 34.4716940, -120.1777940 34.4716940)"
S1,"LINESTRING (-120.3247800 34.5179340, -120.3247390 34.5179310, -120.3237880 34.5178470, -120.3226060 34.5177980, -120.3221420 34.5177690, -120.3211640 34.5177310, -120.3201340 34.5176440, -120.3194390 34.5175930, -120.3178520 34.5175830, -120.3175130 34.5175970, -120.3171450 34.5176380, -120.3168110 34.5176920, -120.3163840 34.5177820, -120.3161730 34.5178350)"
S1,"LINESTRING (-120.4079170 34.5858300, -120.4078770 34.5856810, -120.4077200 34.5853170, -120.4076030 34.5851160, -120.4074440 34.5848880, -120.4073450 34.5847760, -120.4070170 34.5844600, -120.4067650 34.5842760, -120.4064950 34.5841240, -120.4061950 34.5839760, -120.4057940 34.5838310, -120.4054760 34.5837400, -120.4051240 34.5836840, -120.4048370 34.5836650, -120.4044910 34.5836680, -120.4041480 34.5837000, -120.4039070 34.5837410, -120.4012880 34.5842660, -120.4005010 34.5844510, -120.3999530 34.5845640, -120.3995320 34.5846480, -120.3988580 34.5847600, -120.3986930 34.5847880, -120.3985950 34.5848040, -120.3974480 34.5850050, -120.3968390 34.5850780, -120.3966230 34.5850900, -120.3964400 34.5850840, -120.3961020 34.5850570, -120.3957690 34.5850130, -120.3954680 34.5849480, -120.3944150 34.5846730)"
S1,"LINESTRING (-120.4079670 34.5860570, -120.4080410 34.5866930, -120.4081380 34.5876790, -120.4082590 34.5887720, -120.4083490 34.5894280, -120.4084800 34.5898920, -120.4086560 34.5904210, -120.4092310 34.5920200, -120.4096030 34.5930860, -120.4100020 34.5941520, -120.4103460 34.5951400, -120.4104070 34.5952800, -120.4105400 34.5955210, -120.4105580 34.5955470)"
S1,"LINESTRING (-120.3501710 34.5357250, -120.3501190 34.5356740, -120.3495420 34.5351270, -120.3484900 34.5341090, -120.3481510 34.5337810, -120.3476170 34.5332800, -120.3461110 34.5318350, -120.3457380 34.5314650)"
S1,"LINESTRING (-120.3341770 34.5206170, -120.3323900 34.5199730, -120.3316390 34.5197080, -120.3304300 34.5192870, -120.3297770 34.5190430, -120.3290120 34.5187720)"
S1,"LINESTRING (-120.3290120 34.5187720, -120.3289380 34.5187460, -120.3286370 34.5186540, -120.3285500 34.5186280, -120.3278490 34.5184380, -120.3277330 34.5184090)"
S1,"LINESTRING (-120.3683850 34.5677670, -120.3684380 34.5678150, -120.3686010 34.5679970, -120.3687400 34.5681920, -120.3693280 34.5693080, -120.3695600 34.5697830, -120.3702930 34.5711610, -120.3706230 34.5717530, -120.3706920 34.5719450, -120.3709340 34.5723740, -120.3709950 34.5725070, -120.3713430 34.5729900, -120.3714300 34.5730820)"
